                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.134,                 3.9093,                 1.0109,                      0,                      0,                      0,                      0,                0.97566,                 4.1762,                0.94044,               0.000145,               0.000145,               0.000145
                      2,                 1.0525,                 1.3822,                0.99965,                0.92754,                      1,                0.99016,                0.71843,                 1.0509,                 2.8459,                0.98653,             0.00029208,             0.00029208,             0.00029208
                      3,                0.96471,                 1.1253,                 0.9594,                0.99474,                0.98545,                0.99118,                0.76579,                0.94402,                 1.0512,                0.97149,             0.00043619,             0.00043619,             0.00043619
                      4,                0.93173,                0.93188,                0.92641,                0.98998,                      1,                0.99101,                0.75169,                0.92854,                 0.8826,                0.96028,             0.00048515,             0.00048515,             0.00048515
                      5,                0.91752,                0.87221,                0.92476,                0.99407,                      1,                0.99065,                0.74189,                 0.9265,                0.53478,                0.95688,              0.0004802,              0.0004802,              0.0004802
                      6,                0.89788,                0.81459,                0.92048,                0.99401,                      1,                0.99028,                0.71472,                  1.019,                0.51644,                0.98942,             0.00047525,             0.00047525,             0.00047525
                      7,                 0.8844,                0.80885,                0.91015,                 0.9896,                0.99077,                0.99055,                0.72543,                0.98717,                0.52264,                0.97247,              0.0004703,              0.0004703,              0.0004703
                      8,                0.84945,                0.75409,                0.90275,                0.98529,                0.99479,                0.99024,                0.72868,                0.95598,                0.49305,                0.96515,             0.00046535,             0.00046535,             0.00046535
                      9,                0.85314,                0.72023,                0.89121,                0.98891,                0.99479,                0.99008,                0.76082,                0.86845,                0.46207,                0.93874,              0.0004604,              0.0004604,              0.0004604
                     10,                0.82822,                0.71916,                0.89761,                0.99408,                      1,                0.99018,                0.74717,                0.88975,                0.45896,                0.94368,             0.00045545,             0.00045545,             0.00045545
                     11,                0.82547,                0.71689,                0.88316,                0.99421,                      1,                0.99028,                0.74161,                0.91239,                0.47061,                0.94888,              0.0004505,              0.0004505,              0.0004505
                     12,                0.79674,                0.68736,                0.87445,                0.99408,                      1,                0.98992,                0.74355,                0.89902,                0.43152,                0.94102,             0.00044555,             0.00044555,             0.00044555
                     13,                0.79501,                0.65249,                0.88917,                0.99429,                      1,                0.98984,                0.74424,                0.92722,                0.43069,                0.95069,              0.0004406,              0.0004406,              0.0004406
                     14,                0.79774,                 0.6486,                0.87429,                0.99424,                      1,                0.98984,                 0.7449,                0.92293,                0.43384,                 0.9485,             0.00043565,             0.00043565,             0.00043565
