                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3638,                 5.5983,                  1.054,                      0,                      0,                      0,                      0,                0.98278,                 4.5068,                0.88586,                0.00011,                0.00011,                0.00011
                      2,                 1.1326,                 2.6283,                0.96544,                      1,                0.59649,                0.79822,                0.59536,                0.98877,                 3.7141,                0.89884,             0.00022277,             0.00022277,             0.00022277
                      3,                 1.0393,                 2.0187,                0.94268,                0.78082,                      1,                  0.995,                0.75108,                 0.9586,                 3.3088,                0.91109,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.0427,                 1.6335,                0.93714,                0.42857,                      1,                  0.995,                0.69982,                 1.0762,                 2.1368,                0.95252,             0.00044149,             0.00044149,             0.00044149
                      5,                 1.0164,                 1.5458,                 0.9029,                0.99421,                      1,                  0.995,                 0.7286,                0.95686,                 1.1015,                0.91783,              0.0004802,              0.0004802,              0.0004802
                      6,                0.95796,                 1.3928,                0.90146,                 0.9957,                      1,                  0.995,                0.71786,                 1.0101,                0.89008,                0.93945,             0.00047525,             0.00047525,             0.00047525
                      7,                0.95303,                 1.3471,                0.91359,                0.99744,                      1,                  0.995,                0.75238,                0.93699,                0.78503,                0.90737,              0.0004703,              0.0004703,              0.0004703
                      8,                0.95521,                 1.4135,                0.90252,                0.99826,                      1,                  0.995,                0.75882,                0.99558,                0.67411,                0.92164,             0.00046535,             0.00046535,             0.00046535
                      9,                 0.9593,                 1.3254,                0.89001,                0.99856,                      1,                  0.995,                0.75297,                 1.0036,                 0.6043,                0.92952,              0.0004604,              0.0004604,              0.0004604
                     10,                0.87142,                 1.1936,                0.88974,                0.99866,                      1,                  0.995,                0.76753,                0.92891,                0.50845,                0.90208,             0.00045545,             0.00045545,             0.00045545
                     11,                0.91677,                 1.1604,                0.88375,                0.99886,                      1,                  0.995,                0.74432,                0.95597,                0.51466,                0.91031,              0.0004505,              0.0004505,              0.0004505
                     12,                 0.8885,                 1.1374,                0.88115,                0.99879,                      1,                  0.995,                0.76152,                0.96503,                0.50618,                0.90342,             0.00044555,             0.00044555,             0.00044555
                     13,                0.93278,                 1.1494,                0.89311,                0.99868,                      1,                  0.995,                0.74803,                 0.9727,                 0.4894,                0.90105,              0.0004406,              0.0004406,              0.0004406
                     14,                0.89079,                 1.0935,                0.89208,                0.99892,                      1,                  0.995,                0.75671,                0.94253,                0.45749,                0.90288,             0.00043565,             0.00043565,             0.00043565
                     15,                0.90756,                 1.0981,                0.90197,                0.99896,                      1,                  0.995,                 0.7381,                0.95438,                 0.4552,                0.90972,              0.0004307,              0.0004307,              0.0004307
                     16,                0.85765,                 1.0321,                0.86787,                0.99889,                      1,                  0.995,                0.74425,                0.92624,                0.43806,                0.90113,             0.00042575,             0.00042575,             0.00042575
                     17,                0.88915,                0.99459,                 0.8985,                0.99891,                      1,                  0.995,                0.74104,                0.95503,                0.44704,                0.90664,              0.0004208,              0.0004208,              0.0004208
                     18,                0.87193,                0.97337,                0.86491,                0.99888,                      1,                  0.995,                0.75275,                0.95746,                0.43644,                0.90652,             0.00041585,             0.00041585,             0.00041585
                     19,                0.83394,                0.96632,                0.86457,                0.99888,                      1,                  0.995,                0.77317,                0.92346,                0.42099,                0.89706,              0.0004109,              0.0004109,              0.0004109
                     20,                0.84138,                0.99557,                0.87089,                0.99893,                      1,                  0.995,                 0.7399,                0.97897,                0.41946,                0.91329,             0.00040595,             0.00040595,             0.00040595
                     21,                0.85455,                0.93285,                0.89686,                  0.999,                      1,                  0.995,                0.77524,                0.91948,                0.43037,                0.89652,               0.000401,               0.000401,               0.000401
                     22,                0.87586,                0.92933,                0.87321,                0.99888,                      1,                  0.995,                0.77259,                0.94795,                0.45515,                0.90238,             0.00039605,             0.00039605,             0.00039605
                     23,                0.86846,                0.92005,                0.87248,                0.99897,                      1,                  0.995,                0.75594,                0.99708,                0.43156,                0.91873,              0.0003911,              0.0003911,              0.0003911
                     24,                0.83992,                0.86906,                0.88062,                0.99896,                      1,                  0.995,                0.76313,                0.91503,                0.42417,                0.89226,             0.00038615,             0.00038615,             0.00038615
                     25,                 0.8451,                 0.8999,                0.88157,                0.99888,                      1,                  0.995,                0.74374,                0.97188,                0.43067,                0.91029,              0.0003812,              0.0003812,              0.0003812
                     26,                0.82216,                0.89876,                0.86656,                  0.999,                      1,                  0.995,                0.76824,                0.91726,                0.40856,                0.89705,             0.00037625,             0.00037625,             0.00037625
                     27,                0.82493,                0.85296,                0.86828,                0.99894,                      1,                  0.995,                0.75189,                 0.9922,                0.42053,                0.91953,              0.0003713,              0.0003713,              0.0003713
                     28,                0.86469,                0.86261,                0.87803,                0.99906,                      1,                  0.995,                0.76779,                0.92568,                0.42091,                0.90055,             0.00036635,             0.00036635,             0.00036635
                     29,                0.84794,                0.83646,                0.88049,                0.99909,                      1,                  0.995,                0.77326,                0.89588,                0.42643,                0.88849,              0.0003614,              0.0003614,              0.0003614
                     30,                0.83244,                0.84105,                0.86366,                  0.999,                      1,                  0.995,                0.75344,                 0.9558,                  0.432,                0.90837,             0.00035645,             0.00035645,             0.00035645
                     31,                0.82382,                0.78927,                0.86653,                0.99912,                      1,                  0.995,                0.74743,                0.92842,                  0.396,                0.89914,              0.0003515,              0.0003515,              0.0003515
                     32,                0.79137,                0.77112,                0.85579,                0.99892,                      1,                  0.995,                0.76983,                0.94879,                0.40901,                0.90176,             0.00034655,             0.00034655,             0.00034655
                     33,                0.84577,                0.79008,                0.88233,                0.99896,                      1,                  0.995,                0.76567,                0.93941,                0.40075,                0.89554,              0.0003416,              0.0003416,              0.0003416
                     34,                0.81893,                0.79761,                0.86287,                0.99898,                      1,                  0.995,                0.76097,                0.96346,                0.39898,                0.90188,             0.00033665,             0.00033665,             0.00033665
                     35,                0.83208,                0.79381,                0.86226,                  0.999,                      1,                  0.995,                0.77196,                0.93776,                0.38637,                0.89094,              0.0003317,              0.0003317,              0.0003317
                     36,                0.87173,                0.81685,                0.87189,                0.99894,                      1,                  0.995,                0.74609,                0.99021,                0.41577,                0.90641,             0.00032675,             0.00032675,             0.00032675
                     37,                0.82623,                 0.7683,                0.87089,                0.99899,                      1,                  0.995,                0.76418,                0.94853,                0.40481,                0.91048,              0.0003218,              0.0003218,              0.0003218
                     38,                0.80104,                0.73804,                0.87589,                0.99894,                      1,                  0.995,                0.76359,                0.93412,                0.38904,                0.89501,             0.00031685,             0.00031685,             0.00031685
                     39,                0.83311,                0.77165,                0.87333,                0.99879,                      1,                  0.995,                0.75189,                0.99229,                0.39389,                 0.9093,              0.0003119,              0.0003119,              0.0003119
                     40,                0.82628,                0.74451,                0.85963,                 0.9989,                      1,                  0.995,                0.74461,                0.96984,                0.39663,                0.91985,             0.00030695,             0.00030695,             0.00030695
                     41,                0.79705,                0.73922,                0.85237,                0.99901,                      1,                  0.995,                0.76436,                0.93085,                0.38057,                0.90504,               0.000302,               0.000302,               0.000302
                     42,                0.79896,                 0.7293,                0.86255,                0.99886,                      1,                  0.995,                0.76455,                 0.9702,                0.40981,                0.90527,             0.00029705,             0.00029705,             0.00029705
                     43,                0.81216,                0.73036,                 0.8695,                0.99897,                      1,                  0.995,                0.76148,                0.93164,                0.37536,                0.89592,              0.0002921,              0.0002921,              0.0002921
                     44,                 0.7975,                0.72721,                0.85574,                0.99895,                      1,                  0.995,                0.74845,                 0.9714,                0.38796,                0.90938,             0.00028715,             0.00028715,             0.00028715
                     45,                 0.8065,                0.69367,                0.87875,                0.99895,                      1,                  0.995,                 0.7448,                0.97147,                0.40044,                 0.9117,              0.0002822,              0.0002822,              0.0002822
                     46,                0.81288,                0.71984,                 0.8553,                0.99899,                      1,                  0.995,                 0.7466,                0.97074,                0.39552,                0.91223,             0.00027725,             0.00027725,             0.00027725
                     47,                0.81884,                0.72536,                0.87655,                0.99902,                      1,                  0.995,                0.76262,                  0.944,                0.37374,                0.90164,              0.0002723,              0.0002723,              0.0002723
                     48,                0.81857,                0.72367,                0.86574,                0.99892,                      1,                  0.995,                0.75753,                0.95903,                0.38692,                0.90054,             0.00026735,             0.00026735,             0.00026735
                     49,                0.76535,                0.66025,                0.85707,                0.99903,                      1,                  0.995,                0.75706,                0.95715,                0.38141,                0.89909,              0.0002624,              0.0002624,              0.0002624
                     50,                0.76732,                0.69196,                0.84671,                0.99888,                      1,                  0.995,                0.75903,                 0.9565,                0.39154,                0.90229,             0.00025745,             0.00025745,             0.00025745
                     51,                0.78778,                0.65902,                0.86795,                0.99895,                      1,                  0.995,                0.75867,                0.98058,                0.37771,                0.90908,              0.0002525,              0.0002525,              0.0002525
                     52,                0.76882,                0.66599,                0.86287,                0.99889,                      1,                  0.995,                0.76997,                0.93916,                0.39325,                0.89462,             0.00024755,             0.00024755,             0.00024755
                     53,                 0.7708,                0.66422,                0.84574,                0.99897,                      1,                  0.995,                0.76135,                0.95485,                0.37334,                 0.9012,              0.0002426,              0.0002426,              0.0002426
                     54,                0.80408,                0.64363,                0.84922,                0.99886,                      1,                  0.995,                0.74595,                0.97539,                0.38511,                 0.9016,             0.00023765,             0.00023765,             0.00023765
                     55,                0.80623,                0.66218,                0.86987,                0.99895,                      1,                  0.995,                0.74232,                 1.0018,                0.39052,                0.91108,              0.0002327,              0.0002327,              0.0002327
                     56,                 0.7949,                0.65351,                0.86096,                0.99891,                      1,                  0.995,                 0.7488,                 0.9554,                0.37489,                0.90564,             0.00022775,             0.00022775,             0.00022775
                     57,                0.78554,                0.65126,                0.87355,                0.99892,                      1,                  0.995,                0.74887,                0.97293,                0.37885,                0.91407,              0.0002228,              0.0002228,              0.0002228
                     58,                0.78521,                0.62238,                0.85897,                0.99892,                      1,                  0.995,                0.75902,                0.99156,                 0.3785,                0.91255,             0.00021785,             0.00021785,             0.00021785
                     59,                0.76893,                0.63524,                0.86821,                0.99898,                      1,                  0.995,                0.75411,                0.92666,                 0.3811,                 0.8934,              0.0002129,              0.0002129,              0.0002129
