                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0202,                 4.1348,                 1.0684,                0.90435,                      1,                0.99481,                0.78835,                0.88818,                 3.3197,                0.93927,             0.00016288,             0.00016288,             0.00016288
                      2,                0.89604,                 1.8985,                0.94779,                0.50732,                      1,                 0.9949,                0.76536,                0.89768,                 2.6075,                   0.92,             0.00032628,             0.00032628,             0.00032628
                      3,                0.89037,                 1.4483,                0.93447,                 0.9888,                      1,                 0.9949,                0.77119,                0.91646,                 1.1545,                0.92603,             0.00048639,             0.00048639,             0.00048639
                      4,                0.85832,                 1.3216,                 0.9156,                0.99013,                      1,                  0.995,                0.77181,                0.87968,                0.63754,                0.94216,             0.00048515,             0.00048515,             0.00048515
                      5,                0.87267,                 1.2681,                0.94878,                0.98953,                      1,                  0.995,                 0.7613,                0.90519,                0.52568,                0.96636,              0.0004802,              0.0004802,              0.0004802
                      6,                0.84976,                 1.1443,                0.94616,                0.98974,                      1,                  0.995,                0.77345,                0.92095,                0.53105,                0.97634,             0.00047525,             0.00047525,             0.00047525
                      7,                 0.8493,                 1.1193,                0.93849,                      1,                0.99808,                  0.995,                0.77678,                0.87117,                0.50508,                0.94308,              0.0004703,              0.0004703,              0.0004703
                      8,                0.84142,                 1.0625,                0.93532,                0.99842,                      1,                  0.995,                0.78815,                0.81738,                0.47931,                0.94073,             0.00046535,             0.00046535,             0.00046535
                      9,                0.84476,                 1.0489,                0.95557,                0.99756,                      1,                  0.995,                0.78759,                0.84113,                0.48085,                0.94117,              0.0004604,              0.0004604,              0.0004604
                     10,                0.79523,                0.97556,                0.91032,                0.99907,                      1,                  0.995,                 0.7936,                0.86382,                0.48589,                0.96288,             0.00045545,             0.00045545,             0.00045545
                     11,                0.81882,                0.96482,                0.92646,                0.99877,                      1,                  0.995,                0.79634,                0.81238,                0.46244,                0.94722,              0.0004505,              0.0004505,              0.0004505
                     12,                0.82737,                0.93165,                0.94071,                0.99853,                      1,                  0.995,                0.77906,                0.87673,                0.45235,                0.96426,             0.00044555,             0.00044555,             0.00044555
                     13,                0.81196,                0.91042,                 0.9286,                0.99819,                      1,                  0.995,                0.81082,                0.82162,                0.42735,                0.94198,              0.0004406,              0.0004406,              0.0004406
                     14,                0.75667,                 0.9803,                 0.8902,                0.99924,                      1,                  0.995,                0.78615,                0.81847,                0.42991,                0.93758,             0.00043565,             0.00043565,             0.00043565
                     15,                0.77343,                0.85204,                0.91832,                0.99925,                      1,                  0.995,                0.78426,                0.84793,                 0.4255,                0.95591,              0.0004307,              0.0004307,              0.0004307
                     16,                0.78723,                0.80211,                0.90773,                0.99889,                      1,                  0.995,                0.79831,                0.82183,                0.42957,                0.93418,             0.00042575,             0.00042575,             0.00042575
                     17,                0.79934,                0.79818,                0.92847,                0.99842,                      1,                  0.995,                0.79949,                0.82632,                0.44909,                0.92356,              0.0004208,              0.0004208,              0.0004208
                     18,                 0.7917,                0.75845,                0.92369,                 0.9987,                      1,                  0.995,                0.78642,                0.86733,                0.43838,                0.94863,             0.00041585,             0.00041585,             0.00041585
                     19,                0.77706,                0.75865,                 0.9162,                0.99675,                      1,                  0.995,                0.78542,                0.87159,                0.44094,                0.94198,              0.0004109,              0.0004109,              0.0004109
                     20,                0.77537,                0.76607,                0.93589,                0.99816,                      1,                  0.995,                0.80251,                0.80296,                0.41214,                 0.9272,             0.00040595,             0.00040595,             0.00040595
                     21,                 0.8191,                0.73691,                0.92561,                0.99919,                      1,                  0.995,                0.80018,                0.86358,                0.40876,                0.94944,               0.000401,               0.000401,               0.000401
                     22,                0.77804,                  0.698,                0.92555,                0.99917,                      1,                  0.995,                0.80408,                 0.8135,                0.40753,                0.92672,             0.00039605,             0.00039605,             0.00039605
                     23,                0.74324,                0.68686,                0.90872,                0.99921,                      1,                  0.995,                0.80858,                0.81669,                0.41285,                 0.9248,              0.0003911,              0.0003911,              0.0003911
                     24,                 0.7718,                0.68034,                0.89361,                0.99916,                      1,                  0.995,                0.80679,                0.85107,                0.41936,                0.94752,             0.00038615,             0.00038615,             0.00038615
