                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80837,                 4.4088,                0.93969,                      0,                      0,                      0,                      0,                0.73013,                 4.2199,                0.86382,                0.00013,                0.00013,                0.00013
                      2,                0.74214,                 1.9173,                0.93014,                0.98039,                      1,                  0.995,                0.82811,                0.73731,                 3.2287,                0.90253,             0.00026238,             0.00026238,             0.00026238
                      3,                0.76059,                 1.6941,                0.89424,                0.81967,                      1,                  0.995,                0.83096,                0.67154,                 2.3951,                0.87769,             0.00039208,             0.00039208,             0.00039208
                      4,                0.71682,                 1.2653,                0.88764,                0.99764,                      1,                  0.995,                0.84428,                0.65078,                 1.5576,                0.90686,             0.00048515,             0.00048515,             0.00048515
                      5,                 0.7151,                 1.3081,                0.91014,                0.99869,                      1,                  0.995,                 0.8347,                0.61221,                0.66689,                0.90351,              0.0004802,              0.0004802,              0.0004802
                      6,                0.69155,                 1.1352,                0.89239,                 0.9986,                      1,                  0.995,                0.83562,                0.66089,                0.66486,                0.90697,             0.00047525,             0.00047525,             0.00047525
                      7,                0.68822,                 1.1456,                0.89081,                0.99887,                      1,                  0.995,                 0.8386,                0.68588,                0.50467,                0.92426,              0.0004703,              0.0004703,              0.0004703
                      8,                0.66568,                 1.0685,                0.88964,                0.99881,                      1,                  0.995,                0.84385,                0.66546,                0.49393,                0.90856,             0.00046535,             0.00046535,             0.00046535
                      9,                 0.6427,                 1.0611,                0.89581,                0.99889,                      1,                  0.995,                0.83628,                0.62777,                0.44167,                0.89317,              0.0004604,              0.0004604,              0.0004604
                     10,                0.62083,                0.93672,                0.86817,                0.99887,                      1,                  0.995,                0.83152,                0.67029,                0.41493,                0.90339,             0.00045545,             0.00045545,             0.00045545
                     11,                0.65495,                0.96214,                0.88369,                0.99885,                      1,                  0.995,                0.84086,                0.63435,                0.42055,                0.88562,              0.0004505,              0.0004505,              0.0004505
                     12,                0.64441,                  0.948,                0.87766,                0.99895,                      1,                  0.995,                0.83134,                0.64389,                0.39525,                0.89153,             0.00044555,             0.00044555,             0.00044555
                     13,                0.63048,                0.91248,                0.88243,                0.99888,                      1,                  0.995,                0.82885,                0.65801,                0.39298,                0.89772,              0.0004406,              0.0004406,              0.0004406
                     14,                0.62707,                0.89365,                0.88774,                0.99892,                      1,                  0.995,                 0.8402,                0.62146,                0.41224,                 0.8907,             0.00043565,             0.00043565,             0.00043565
                     15,                0.61255,                0.84692,                0.89298,                0.99885,                      1,                  0.995,                0.83749,                0.67484,                0.40797,                0.90581,              0.0004307,              0.0004307,              0.0004307
                     16,                0.61477,                0.79139,                0.86969,                0.99889,                      1,                  0.995,                0.82529,                0.62221,                0.37567,                0.89219,             0.00042575,             0.00042575,             0.00042575
                     17,                0.58322,                0.79093,                0.85689,                 0.9989,                      1,                  0.995,                0.83283,                0.62927,                 0.3627,                0.89975,              0.0004208,              0.0004208,              0.0004208
                     18,                0.62495,                0.80566,                0.87798,                0.99886,                      1,                  0.995,                0.85332,                0.61273,                0.36797,                0.88711,             0.00041585,             0.00041585,             0.00041585
                     19,                0.63013,                0.76775,                0.87262,                0.99893,                      1,                  0.995,                0.84707,                0.59563,                0.35064,                0.88341,              0.0004109,              0.0004109,              0.0004109
                     20,                0.61148,                0.77297,                0.86856,                0.99879,                      1,                  0.995,                0.83047,                0.67401,                0.39663,                0.90656,             0.00040595,             0.00040595,             0.00040595
