                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77186,                 3.9202,                0.94058,                      1,                0.98462,                 0.9915,                0.85556,                0.60789,                 3.5129,                0.87061,              0.0001619,              0.0001619,              0.0001619
                      2,                0.76628,                 1.8219,                0.91819,                0.64356,                      1,                 0.9947,                0.83649,                0.70351,                  2.924,                0.87356,             0.00032532,             0.00032532,             0.00032532
                      3,                  0.746,                 1.3092,                0.87477,                0.98912,                      1,                  0.995,                0.83691,                0.64469,                 1.8618,                0.88793,             0.00048543,             0.00048543,             0.00048543
                      4,                 0.7043,                 1.2252,                0.88838,                0.99832,                      1,                  0.995,                0.83567,                0.63657,                0.73807,                0.89154,             0.00048515,             0.00048515,             0.00048515
                      5,                0.69946,                 1.1987,                0.89611,                0.99906,                      1,                  0.995,                0.80449,                0.66221,                0.51066,                0.92171,              0.0004802,              0.0004802,              0.0004802
                      6,                0.67021,                 1.1057,                0.90075,                0.99908,                      1,                  0.995,                0.85266,                 0.6422,                0.45731,                0.89298,             0.00047525,             0.00047525,             0.00047525
                      7,                0.65111,                 1.0433,                0.87217,                0.99903,                      1,                  0.995,                0.85088,                0.56924,                0.44327,                0.87359,              0.0004703,              0.0004703,              0.0004703
                      8,                0.64379,                0.94688,                0.87369,                 0.9991,                      1,                  0.995,                0.84429,                0.67704,                0.46883,                0.90887,             0.00046535,             0.00046535,             0.00046535
                      9,                0.65815,                 1.0046,                0.88229,                0.99916,                      1,                  0.995,                0.84677,                 0.5761,                0.42415,                0.88822,              0.0004604,              0.0004604,              0.0004604
                     10,                0.63588,                0.94467,                0.87962,                0.99927,                      1,                  0.995,                0.85093,                0.62962,                0.42346,                0.88688,             0.00045545,             0.00045545,             0.00045545
                     11,                 0.6231,                0.90098,                0.88077,                0.99911,                      1,                  0.995,                0.86026,                0.59841,                0.42582,                0.88348,              0.0004505,              0.0004505,              0.0004505
                     12,                0.62994,                0.86065,                0.87121,                0.99916,                      1,                  0.995,                0.84625,                0.63825,                0.40096,                0.89798,             0.00044555,             0.00044555,             0.00044555
                     13,                0.62659,                0.84615,                0.87065,                0.99912,                      1,                  0.995,                0.86543,                  0.608,                0.39332,                0.88218,              0.0004406,              0.0004406,              0.0004406
