                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.149,                  2.434,                0.73198,                 3.7006,                  1.547,                0.35376,                0.58705,                0.49143,                0.33937,                0.36543,                0.60082,                0.49732,                0.35357,                 1.1639,                 1.7363,                 0.6975,                 3.0121,                 1.0589,                  0.003,                  0.003,                  0.003
                      2,                 1.2635,                 1.4366,                0.59175,                 1.6841,                 1.0157,                0.65778,                0.81783,                0.77493,                0.44036,                 0.6361,                0.79307,                0.73441,                0.51139,                 1.3449,                 1.4219,                0.60154,                 2.4732,                 1.0736,              0.0060988,              0.0060988,              0.0060988
                      3,                  1.247,                 1.1558,                0.46706,                 1.3932,                0.99933,                0.79475,                0.84851,                0.94175,                0.62515,                0.78599,                0.83333,                0.91318,                0.75878,                 1.0619,                0.97819,                0.36876,                 1.7316,                0.97358,              0.0091964,              0.0091964,              0.0091964
                      4,                 1.2829,                0.94837,                0.31427,                 1.1948,                 1.0149,                0.79921,                0.84387,                0.90198,                0.56583,                0.79715,                0.83442,                0.88847,                0.69046,                  1.096,                0.90707,                 0.1581,                 1.7953,                 1.0045,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.0786,                0.84965,                0.24844,                0.99103,                0.96442,                0.95053,                  0.904,                0.96403,                0.72413,                0.85066,                0.83241,                 0.8383,                 0.6586,                0.86816,                 1.1073,                0.09267,                0.95821,                0.92033,              0.0099941,              0.0099941,              0.0099941
                      6,                  1.087,                0.66182,                0.20671,                0.87742,                0.95919,                0.94981,                0.90916,                0.96093,                 0.6937,                0.90741,                0.89019,                0.91052,                0.75196,                 0.9623,                0.75699,                0.05964,                0.75585,                0.93228,              0.0099921,              0.0099921,              0.0099921
                      7,                 1.0361,                0.53791,                0.19831,                0.79509,                0.94012,                0.95586,                0.92499,                0.98155,                0.71763,                0.94437,                 0.9153,                0.96465,                0.86316,                0.97352,                0.49663,                0.04162,                0.71152,                 0.9414,              0.0099901,              0.0099901,              0.0099901
                      8,                0.95576,                0.51401,                0.17633,                0.78317,                0.93199,                0.96826,                0.94875,                0.98632,                0.78367,                0.96085,                0.94397,                0.97614,                0.89278,                0.76277,                0.41411,                0.03239,                0.67925,                0.87768,              0.0099881,              0.0099881,              0.0099881
                      9,                0.91636,                0.42012,                 0.1618,                0.69409,                0.91461,                0.96849,                0.94567,                0.98056,                0.75597,                0.96172,                0.93858,                0.96658,                0.92185,                0.85868,                0.40578,                0.03097,                0.61404,                0.89616,              0.0099861,              0.0099861,              0.0099861
                     10,                0.91225,                0.39457,                0.14886,                0.68453,                0.91794,                0.96139,                 0.9473,                0.97866,                0.77237,                0.95496,                0.94378,                0.97475,                0.94646,                0.75561,                0.25036,                0.02693,                0.57978,                0.87905,              0.0099842,              0.0099842,              0.0099842
